ingredient,purpose,health_concern,alternative_names,bad_ingredients,bad_ingredients_preprocessed
Saccharin,Sweetener,Digestive,"E954,Saccharin Sodium","Saccharin,E954,Saccharin Sodium","saccharin, e954, saccharin sodium"
Sodium Benzoate,Preservative,Cancer,"E211,Benzoic Acid Salt","Sodium Benzoate,E211,Benzoic Acid Salt","sodium benzoate, e211, benzoic acid salt"
Sodium nitrate ,Preservative,Cancer,"E250, Chile saltpeter, Nitrate of soda,Nitrite","Sodium nitrate ,E250, Chile saltpeter, Nitrate of soda,Nitrite","sodium nitrate, e250, chile saltpeter, nitrate of soda, nitrite"
Sucralose ,Sweetener,Cancer,"Splenda, E955, Trichlorosucrose","Sucralose ,Splenda, E955, Trichlorosucrose","sucralose, splenda, e955, trichlorosucrose"
Sulfur Dioxide,Preservative,Can trigger asthma attacks or allergic reactions in sensitive individuals,"Sulfites,E220,Sulfur Dioxide,E221,Sodium Sulfite,Sodium Bisulfite,Sodium Metabisulfite,Potassium Metabisulfite,Calcium Sulfite,Calcium Bisulfite,Potassium Bisulfite,E221,E222,E223,E224,E225,E226,E227,E228","Sulfur Dioxide,Sulfites,E220,Sulfur Dioxide,E221,Sodium Sulfite,Sodium Bisulfite,Sodium Metabisulfite,Potassium Metabisulfite,Calcium Sulfite,Calcium Bisulfite,Potassium Bisulfite,E221,E222,E223,E224,E225,E226,E227,E228","sulfur dioxide, sulfites, e220, sulfur dioxide, e221, sodium sulfite, sodium bisulfite, sodium metabisulfite, potassium metabisulfite, calcium sulfite, calcium bisulfite, potassium bisulfite, e221, e222, e223, e224, e225, e226, e227, e228"
Sunset Yellow FCF,Coloring,May cause hyperactivity and allergic reactions.,"E110,Orange Yellow S, Yellow 6,Yellow Dye No. 6,FD&C Yellow No. 6","Sunset Yellow FCF,E110,Orange Yellow S, Yellow 6,Yellow Dye No. 6,FD&C Yellow No. 6","sunset yellow fcf, e110, orange yellow s, yellow 6, yellow dye no. 6, fd&c yellow no. 6"
Synthetic food dyes,Coloring,,,"Synthetic food dyes,","synthetic food dyes, "
Tartrazin,Coloring,Associated with hyperactivity in children and allergic reactions.,"E102, Yellow 5,Yellow Dye No. 5,FD&C Yellow No. 5, Food Yellow 4.","Tartrazin,E102, Yellow 5,Yellow Dye No. 5,FD&C Yellow No. 5, Food Yellow 4.","tartrazin, e102, yellow 5, yellow dye no. 5, fd&c yellow no. 5, food yellow 4."
Titanium dioxide,Coloring,Cancer,"E171, TiO2, Titanium(IV) oxide,Titanium Oxide","Titanium dioxide,E171, TiO2, Titanium(IV) oxide,Titanium Oxide","titanium dioxide, e171, tio2, titanium(iv) oxide, titanium oxide"
hydrogenated vegetable oil,Oil & Oil Substitutes,Increase the risk of heart disease.,"PHOs,Trans Fats, Partially Hydrogenated Soybean Oil, Partially Hydrogenated Vegetable Oil","hydrogenated vegetable oil,PHOs,Trans Fats, Partially Hydrogenated Soybean Oil, Partially Hydrogenated Vegetable Oil","hydrogenated vegetable oil, phos, trans fats, partially hydrogenated soybean oil, partially hydrogenated vegetable oil"
tert-butylhydroquinone,Preservative,"Linked to hyperactivity and behavioral issues in sensitive individuals, particularly children.","TBHQ,E319 ,Antioxidant 319,","tert-butylhydroquinone,TBHQ,E319 ,Antioxidant 319,","tert-butylhydroquinone, tbhq, e319, antioxidant 319, "
 Brilliant Blue FCF.,Coloring,"can cause allergic reactions, hyperactivity in kids","Blue 1,FD&C Blue No. 1,E133,Tert-Butylhydroquinone,Tertiary Butylhydroquinone"," Brilliant Blue FCF.,Blue 1,FD&C Blue No. 1,E133,Tert-Butylhydroquinone,Tertiary Butylhydroquinone","brilliant blue fcf., blue 1, fd&c blue no. 1, e133, tert-butylhydroquinone, tertiary butylhydroquinone"
 Propionic Acid ,Preservative, Linked to hyperactivity and behavioral issues in some children.,"E280,E283,E281,E282,Sodium Propionate,Calcium Propionate,Potassium Propionate,Propionates"," Propionic Acid ,E280,E283,E281,E282,Sodium Propionate,Calcium Propionate,Potassium Propionate,Propionates","propionic acid, e280, e283, e281, e282, sodium propionate, calcium propionate, potassium propionate, propionates"
